asset,date,open,high,low,close,volume
MGC,2025-02-28,2944.200772,2956.045968,2929.677531,2953.16192,62381
MGC,2025-03-03,2971.290221,2993.847594,2961.402057,2991.478555,59809
MGC,2025-03-04,3015.580954,3019.495019,2998.276668,3016.404968,50106
MGC,2025-03-05,3002.087731,3029.486185,3000.027697,3017.228982,57209
MGC,2025-03-06,3004.250767,3019.804024,3003.632756,3007.237816,45217
MGC,2025-03-07,3012.078896,3026.911142,2997.143649,3005.280784,52972
MGC,2025-03-10,2994.671608,3005.177782,2970.981215,2979.942364,59586
MGC,2025-03-11,3004.250767,3017.228982,3003.735758,3010.636872,43066
MGC,2025-03-12,3004.250767,3037.417316,3002.705741,3031.855224,54838
MGC,2025-03-13,3042.773405,3091.493212,3042.361398,3091.493212,93790
MGC,2025-03-14,3097.467311,3097.879318,3078.411995,3083.253075,56174
MGC,2025-03-17,3084.592097,3101.278374,3083.150074,3100.45436,39416
MGC,2025-03-18,3135.577942,3138.976998,3122.18772,3133.002899,66806
MGC,2025-03-19,3133.62091,3153.191234,3124.762763,3148.968164,58921
MGC,2025-03-20,3129.603843,3145.981114,3128.882831,3144.333087,42005
MGC,2025-03-21,3127.543809,3127.749812,3094.171256,3119.303672,82547
MGC,2025-03-24,3119.406674,3122.599727,3097.982319,3108.076487,54043
MGC,2025-03-25,3118.994667,3133.517908,3113.638579,3116.934633,51578
MGC,2025-03-26,3121.775713,3122.805731,3108.797498,3117.34664,38724
MGC,2025-03-27,3142.788062,3163.491404,3132.281887,3161.740375,30836
MGC,2025-03-28,3175.233599,3228.279478,3164.521422,3183.061729,3088
MGC,2025-03-31,3210.048176,3226.01344,3207.988142,3225.086425,66
MGC,2025-04-01,3228.176476,3233.738568,3204.486084,3215.404264,43
MGC,2025-04-02,3238.06464,3264.948085,3229.515498,3245.480763,36
MGC,2025-04-03,3196.45195,3220.657351,3196.45195,3198.614986,15
MGC,2025-04-04,3151.852212,3151.852212,3100.351359,3113.844582,136
MGC,2025-04-07,3093.450244,3104.368425,3049.159511,3049.159511,18
MGC,2025-04-08,3072.6439,3072.6439,3059.150676,3059.150676,7
MGC,2025-04-09,3169.2595,3172.349551,3150.307186,3150.307186,4
MGC,2025-04-10,3169.2595,3172.349551,3150.307186,3150.307186,0
MGC,2025-04-11,3169.2595,3172.349551,3150.307186,3150.307186,0
MGC,2025-04-14,3302.337705,3302.337705,3302.337705,3302.337705,1
MGC,2025-04-15,3312.122867,3312.94688,3312.122867,3312.94688,3
MGC,2025-04-16,3411.31351,3431.192839,3411.31351,3431.192839,4
MGC,2025-04-17,3411.31351,3431.192839,3411.31351,3431.192839,0
