"asset_id","trade_date","open","high","low","close","volume","ts"
"MGC","2025-04-07",3093.450244,3104.368425,3049.159511,3049.159511,18,"2026-04-01T16:16:09.530011Z"
"MGC","2025-04-08",3072.6439,3072.6439,3059.150676,3059.150676,7,"2026-04-01T16:16:09.531599Z"
"MGC","2025-04-09",3169.2595,3172.349551,3150.307186,3150.307186,4,"2026-04-01T16:16:09.533039Z"
"MGC","2025-04-10",3169.2595,3172.349551,3150.307186,3150.307186,0,"2026-04-01T16:16:09.534305Z"
"MGC","2025-04-11",3169.2595,3172.349551,3150.307186,3150.307186,0,"2026-04-01T16:16:09.536023Z"
"MGC","2025-04-14",3302.337705,3302.337705,3302.337705,3302.337705,1,"2026-04-01T16:16:09.537247Z"
"MGC","2025-04-15",3312.122867,3312.94688,3312.122867,3312.94688,3,"2026-04-01T16:16:09.538877Z"
"MGC","2025-04-16",3411.31351,3431.192839,3411.31351,3431.192839,4,"2026-04-01T16:16:09.540161Z"
"MGC","2025-04-17",3411.31351,3431.192839,3411.31351,3431.192839,0,"2026-04-01T16:16:09.541441Z"
"MGC","2025-04-21",3516.787257,3521.628337,3516.787257,3520.907325,7,"2026-04-01T16:16:09.542726Z"
"MGC","2025-04-22",3528.220446,3528.735455,3461.887348,3466.625426,24,"2026-04-01T16:16:09.543881Z"
"MGC","2025-04-23",3356.928609,3372.172861,3352.293532,3372.06986,6,"2026-04-01T16:16:09.545103Z"
"MGC","2025-04-24",3407.914453,3424.188723,3402.970372,3424.188723,6,"2026-04-01T16:16:09.547024Z"
"MGC","2025-04-25",3366.095761,3400.292327,3366.095761,3400.292327,6,"2026-04-01T16:16:09.548525Z"
"MGC","2025-04-28",3379.976533,3433.879747,3365.888192,3425.100056,126613,"2026-04-01T16:16:09.549848Z"
"MGC","2025-04-29",3396.719197,3410.501269,3378.241012,3397.127555,95270,"2026-04-01T16:16:09.595308Z"
"MGC","2025-04-30",3383.447573,3399.883969,3362.621331,3368.542517,110951,"2026-04-01T16:16:09.596849Z"
"MGC","2025-05-01",3302.694841,3316.681092,3279.520543,3315.762287,116295,"2026-04-01T16:16:09.598081Z"
"MGC","2025-05-02",3333.423757,3341.59091,3296.977834,3315.047661,133755,"2026-04-01T16:16:09.599229Z"
"MGC","2025-05-05",3397.127555,3416.728724,3383.141305,3413.666041,93905,"2026-04-01T16:16:09.601139Z"
"MGC","2025-05-06",3476.451035,3516.367998,3457.564492,3513.509494,119010,"2026-04-01T16:16:09.602251Z"
"MGC","2025-05-07",3464.812841,3477.778197,3441.434364,3442.965705,116246,"2026-04-01T16:16:09.603284Z"
"MGC","2025-05-08",3437.248697,3446.232566,3362.212973,3379.466085,154832,"2026-04-01T16:16:09.604359Z"
"MGC","2025-05-09",3414.380667,3423.058268,3394.064873,3398.760986,96358,"2026-04-01T16:16:09.605418Z"
"MGC","2025-05-12",3309.636922,3320.968847,3290.64829,3309.636922,99014,"2026-04-01T16:16:09.606342Z"
"MGC","2025-05-13",3316.783181,3330.361074,3296.875744,3322.602278,89756,"2026-04-01T16:16:09.607470Z"
"MGC","2025-05-14",3256.856691,3269.41369,3237.561791,3247.566554,106268,"2026-04-01T16:16:09.608565Z"
"MGC","2025-05-15",3262.063252,3312.597515,3256.958781,3311.474531,115735,"2026-04-01T16:16:09.609561Z"
"MGC","2025-05-16",3243.789246,3275.641145,3234.703287,3272.680552,102533,"2026-04-01T16:16:09.611875Z"
"MGC","2025-05-19",3302.388573,3311.168263,3286.258445,3299.632159,95567,"2026-04-01T16:16:09.612957Z"
"MGC","2025-05-20",3307.186776,3367.317444,3306.676329,3361.294169,124867,"2026-04-01T16:16:09.613906Z"
"MGC","2025-05-21",3375.790866,3396.617108,3366.194461,3385.999808,98145,"2026-04-01T16:16:09.614909Z"
"MGC","2025-05-22",3380.180711,3382.630857,3346.287024,3363.744315,109938,"2026-04-01T16:16:09.615856Z"
"MGC","2025-05-23",3421.629016,3436.942429,3405.805156,3427.856471,105326,"2026-04-01T16:16:09.616822Z"
"MGC","2025-05-26",3407.642765,3413.563952,3404.273815,3412.236789,21112,"2026-04-01T16:16:09.617860Z"
"MGC","2025-05-27",3364.152672,3375.995045,3352.004031,3369.155054,60282,"2026-04-01T16:16:09.618857Z"
"MGC","2025-05-28",3373.136541,3377.322208,3342.407626,3353.127015,41948,"2026-04-01T16:16:09.620115Z"
"MGC","2025-05-29",3386.408166,3398.965165,3372.013558,3382.937126,2527,"2026-04-01T16:16:09.621331Z"
"MGC","2025-05-30",3361.804616,3366.704908,3340.365837,3361.804616,85,"2026-04-01T16:16:09.622355Z"
"MGC","2025-06-02",3424.38543,3451.337037,3424.38543,3451.337037,60,"2026-04-01T16:16:09.623171Z"
"MGC","2025-06-03",3410.29709,3420.097675,3400.496506,3420.097675,56,"2026-04-01T16:16:09.624557Z"
"MGC","2025-06-04",3450.316143,3450.316143,3450.316143,3450.316143,1,"2026-04-01T16:16:09.625492Z"
"MGC","2025-06-05",3445.109583,3445.51794,3419.383049,3427.856471,36,"2026-04-01T16:16:09.626407Z"
"MGC","2025-06-06",3415.912009,3415.912009,3387.42906,3398.250539,8,"2026-04-01T16:16:09.627252Z"
"MGC","2025-06-09",3389.981296,3404.988441,3389.777117,3398.556807,23,"2026-04-01T16:16:09.628857Z"
"MGC","2025-06-10",3391.818905,3401.313221,3391.818905,3395.902482,22,"2026-04-01T16:16:09.629757Z"
"MGC","2025-06-11",3408.051123,3421.629016,3394.57532,3421.629016,4,"2026-04-01T16:16:09.631084Z"
"MGC","2025-06-12",3461.852248,3464.608662,3453.378826,3453.378826,14,"2026-04-01T16:16:09.632200Z"
"MGC","2025-06-13",3461.852248,3464.608662,3453.378826,3453.378826,0,"2026-04-01T16:16:09.633478Z"
"MGC","2025-06-16",3459.095833,3467.875524,3459.095833,3467.467166,8,"2026-04-01T16:16:09.634424Z"
"MGC","2025-06-17",3455.624793,3459.402102,3455.522704,3459.402102,8,"2026-04-01T16:16:09.635613Z"
"MGC","2025-06-18",3457.666581,3459.60628,3457.360313,3457.360313,4,"2026-04-01T16:16:09.636671Z"
"MGC","2025-06-19",3435.717356,3435.717356,3435.717356,3435.717356,1,"2026-04-01T16:16:09.637894Z"
"MGC","2025-06-20",3439.800933,3440.005112,3434.696462,3434.696462,20,"2026-04-01T16:16:09.639278Z"
"MGC","2025-06-23",3456.645687,3456.645687,3456.23733,3456.23733,2,"2026-04-01T16:16:09.640574Z"
"MGC","2025-06-24",3379.466085,3385.591451,3379.466085,3385.591451,8,"2026-04-01T16:16:09.641847Z"
"MGC","2025-06-25",3382.018321,3401.823668,3382.018321,3401.823668,10,"2026-04-01T16:16:09.643125Z"
"MGC","2025-06-26",3387.390642,3404.872899,3377.023257,3396.335053,73199,"2026-04-01T16:16:09.644164Z"
"MGC","2025-06-27",3321.019049,3349.173614,3320.10428,3339.619357,87936,"2026-04-01T16:16:09.646209Z"
"MGC","2025-06-30",3348.462127,3376.31177,3343.278435,3369.40018,67794,"2026-04-01T16:16:09.647609Z"
"MGC","2025-07-01",3416.561618,3422.050234,3402.94172,3404.669617,64270,"2026-04-01T16:16:09.648863Z"
"MGC","2025-07-02",3410.666438,3426.014234,3399.181002,3423.67649,53679,"2026-04-01T16:16:09.649969Z"
"MGC","2025-07-03",3397.351463,3403.653207,3387.289001,3390.744796,51048,"2026-04-01T16:16:09.651168Z"
"MGC","2025-07-04",3398.672797,3403.043361,3395.521925,3401.315463,15260,"2026-04-01T16:16:09.652629Z"
"MGC","2025-07-07",3375.701924,3405.076181,3369.705103,3401.518745,64291,"2026-04-01T16:16:09.653671Z"
"MGC","2025-07-08",3389.626745,3391.049719,3349.68182,3364.927974,109473,"2026-04-01T16:16:09.654650Z"
"MGC","2025-07-09",3358.524589,3380.27577,3353.849102,3376.819975,66401,"2026-04-01T16:16:09.655612Z"
"MGC","2025-07-10",3388.305411,3392.167771,3373.465821,3387.593924,60578,"2026-04-01T16:16:09.656734Z"
"MGC","2025-07-11",3420.322336,3437.093106,3417.273105,3425.912593,75383,"2026-04-01T16:16:09.657946Z"
"MGC","2025-07-14",3418.69608,3422.253516,3403.348284,3407.109002,59183,"2026-04-01T16:16:09.658951Z"
"MGC","2025-07-15",3403.449925,3415.545208,3381.902026,3385.154539,89902,"2026-04-01T16:16:09.659909Z"
"MGC","2025-07-16",3396.436694,3441.260389,3380.580693,3409.446746,169174,"2026-04-01T16:16:09.661671Z"
"MGC","2025-07-17",3377.023257,3401.518745,3373.160898,3400.299053,57153,"2026-04-01T16:16:09.663343Z"
"MGC","2025-07-18",3419.71249,3421.338746,3408.227053,3410.666438,46027,"2026-04-01T16:16:09.664367Z"
"MGC","2025-07-21",3451.526133,3473.074031,3448.375261,3466.365723,72835,"2026-04-01T16:16:09.665513Z"
"MGC","2025-07-22",3483.441416,3504.074546,3471.854339,3500.720392,87707,"2026-04-01T16:16:09.666634Z"
